#,Company Name,About,Outreach Insight,Headline,Top Opportunity,Brief URL,Slug,Review Status,Notes,OK to send?
1,104,On-demand platform that books and confirms professional crews within ninety-nine minutes.,Insufficient signal for a specific angle; fit is on trust category and product description only. 104 App users commit to crews arriving on tight timelines before work quality is shown.,We believe we can help 104 move more clients from a request into a confirmed crew booking.,Make the request lead to a fast confirmation.,https://clients.upstory.co/104,104,Ship,P4 — send when contact found,Yes
2,10Adventures,"Adventure travel marketplace for booking customizable hiking, cycling, and active vacations.","10Adventures wants travelers to book customizable multi-day hiking, cycling, and adventure holidays where they pay and commit itineraries before the trip proves out. High-leverage UX sits in trip customization, deposit or payment checkout, and pre-departure confidence for self-guided and group departures. Upstory could help refine booking and pre-trip onboarding that increases completed reservations and repeat travelers across 1,200+ tours.",We believe we can help 10Adventures move more custom trip inquiries to deposit-ready itineraries.,Make the itinerary preview feel complete before deposit.,https://clients.upstory.co/10adventures,10adventures,Ship,P1 — send when contact found,Yes
3,1502,"Bitcoin-native messaging app combining private chat, payments, billing, and services in one ecosystem.","1502.app LLC is building a Bitcoin-only messenger where users link payments, billing, and services before the full communication suite feels indispensable. The decisive moments are wallet connect, first payment or bill action, and trusting private messaging alongside money movement. Upstory could help streamline first-week onboarding that gets users from download to first successful in-app payment without dropping at permissions or funding steps.",We believe we can help 1502 move more new installs to a first completed in-app payment.,Make the path to a first payment visible at install.,https://clients.upstory.co/1502,1502,Ship,P3 — send when contact found,Yes
4,1P Algorithms,Subscription platform offering AI-driven trading strategies and live trading sessions for futures and options.,"1P Algorithms wants traders at all levels to subscribe to AI-driven strategies and live sessions before capital at risk proves performance. The commitment moment is account setup, strategy selection, and first live or automated trade participation despite disclosed market risk. Upstory could help clarify onboarding and in-product education paths that improve activation into paid sessions without overpromising returns.",We believe we can help 1P Algorithms move more new signups into active paid trading sessions.,Make the first session reachable from signup.,https://clients.upstory.co/1p-algorithms,1p-algorithms,Ship,P4 — send when contact found,Yes
5,360Ofme,Personal data exchange that lets consumers grant and manage data access with businesses.,"360ofme wants consumers and ethical businesses to participate in a personal data exchange where people grant data access before transparent value is clear. The high-stakes moment is consent, sharing scope, and first data connection between consumer and business. Upstory could help design clearer consumer enrollment and business-facing exchange flows that improve completion and repeat participation on a smaller team.",We believe we can help 360Ofme move more new consumers to a first completed data connection.,Show the value before asking for access.,https://clients.upstory.co/360ofme,360ofme,Ship,P2 — send when contact found,Yes
6,3Dapartment,Virtual rental platform for touring apartments in 3D and signing leases online without an in-person visit.,"3DAPARTMENT wants renters to find, tour, apply, and sign leases online before ever visiting a unit, and agents to publish 3D scans quickly. The high-stakes moments are virtual tour engagement, online application, and digital lease execution without in-person reassurance. Upstory could help streamline renter onboarding and application flows that increase completed leases from immersive tours.",We believe we can help 3Dapartment move more virtual tours to completed online lease signings.,Carry tour confidence into the application.,https://clients.upstory.co/3dapartment,3dapartment,Ship,P2 — send when contact found,Yes
7,4Ruedas,Spanish-language marketplace for buying and selling new and used vehicles through verified listings.,"Insufficient signal for a specific angle; fit is on trust category and product description only, though 4ruedas aims to connect real buyers and sellers for vehicle deals before in-person inspection. No revenue, hiring, or funding cues are available to sharpen timing.",We believe we can help 4Ruedas move more vehicle views into started buyer-seller negotiations.,Make listings carry negotiation-ready detail.,https://clients.upstory.co/4ruedas,4ruedas,Ship,P4 — send when contact found,Yes
8,4Stay,Marketplace connecting students and interns with verified off-campus furnished housing for medium-term stays.,4stay is trying to make off-campus housing booking feel effortless for students and institutional partners across one-month to one-year stays. The high-leverage user experience is the path from search to confirmed booking before a renter has seen the unit or completed the stay. Upstory could help 4stay sharpen onboarding and checkout flows for students and white-label institutional portals so more searches convert to committed reservations.,We believe we can help 4Stay move more housing searches into confirmed bookings.,Make the listing feel bookable at a glance.,https://clients.upstory.co/4stay,4stay,Ship,P2 — send when contact found,Yes
9,AdhereTech,Connected medication adherence platform with smart pill bottles and real-time support for pharma and pharmacy programs.,"AdhereTech wants patients and care teams to stay on prescribed regimens by committing to connected bottles and real-time adherence programs before outcomes improve. Growth likely depends on making enrollment, device setup, and two-way dosing support feel effortless for patients and scalable for pharma sponsors. Upstory could help refine patient onboarding and in-app intervention flows that drive first-week adherence activation and program retention for manufacturer partners.",We believe we can help AdhereTech move more enrolled patients to first-week adherence activation.,Make device setup effortless at enrollment.,https://clients.upstory.co/adheretech,adheretech,Ship,P2 — send when contact found,Yes
10,Adia Health,Diagnostic platform combining clinical AI recommendations with instant provider payment in the same visit.,"Adia Health is trying to get clinicians and lab partners to adopt an end-to-end diagnostic workflow where AI recommendations and instant payment land in the same visit, before providers see full revenue and accuracy gains. The conversion moment is when a practice or hospital commits to routing orders and payment through Adia instead of legacy CDS and billing stacks. Upstory could help sharpen provider onboarding, order-path clarity, and patient-facing explanations so more sites activate the platform and complete first paid diagnostic journeys.",We believe we can help Adia Health move more provider sites to a first completed paid diagnostic journey.,Make the first order path unmistakable.,https://clients.upstory.co/adia-health,adia-health,Ship,P3 — send when contact found,Yes
